Pins Used,Mode,Pull-Type,Speed
PC13,['IT_RISING'],['GPIO_NOPULL'],[]
PC3,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_VERY_HIGH']
PA5,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
PA9,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
PA6,['IT_RISING'],['GPIO_PULLDOWN'],[]
PA7,['IT_RISING'],['GPIO_PULLDOWN'],[]
PA8,['IT_RISING'],['GPIO_PULLDOWN'],[]
PA10,['IT_RISING'],['GPIO_PULLDOWN'],[]
PC7,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
PB4,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
PB6,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
PB5,['INPUT'],['GPIO_PULLDOWN'],[]
