Port,Pin,Mode,Pull-Type,Speed
B1_GPIO_Port,B1_Pin,['IT_FALLING'],['GPIO_NOPULL'],[]
LED2_GPIO_Port,LED2_Pin,['OUTPUT_PP'],['GPIO_PULLDOWN'],['GPIO_SPEED_FREQ_LOW']
REC_LED_GPIO_Port,REC_LED_Pin,['OUTPUT_PP'],['GPIO_PULLDOWN'],['GPIO_SPEED_FREQ_LOW']
GPIOA,BUT1_Pin,['INPUT'],['GPIO_PULLDOWN'],[]
GPIOA,BUT3_Pin,['INPUT'],['GPIO_PULLDOWN'],[]
GPIOA,BUT2_Pin,['INPUT'],['GPIO_PULLDOWN'],[]
GPIOB,GPIO_PIN_5,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,LED3_Pin,['OUTPUT_PP'],['GPIO_PULLDOWN'],['GPIO_SPEED_FREQ_LOW']
GPIOB,LED_1_Pin,['OUTPUT_PP'],['GPIO_PULLDOWN'],['GPIO_SPEED_FREQ_LOW']
REC_BUT_GPIO_Port,REC_BUT_Pin,['INPUT'],['GPIO_PULLDOWN'],[]
