Port,Pin,Mode,Pull-Type,Speed
B1_GPIO_Port,B1_Pin,['IT_FALLING'],['GPIO_NOPULL'],[]
GPIOA,LD2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,LED_2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,LED_REC_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,Button_2_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOA,Button_3_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
LED_1_GPIO_Port,LED_1_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,Button_REC_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,Button_Stop_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,Button_1_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
LED_3_GPIO_Port,LED_3_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
