std,hsh,Perfect Repository Upload,CorePath
20416318,#43,False,Invalid Repository
20987056,#49,False,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#49\20987056_EDesign\Release\Core
20994168,#34,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#34\Core
21015279,#53,False,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#53\E_Design314_21015279\Core
21018391,#64,False,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#64\ED_21018391\Core
21063990,#25,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#25\Core
21093741,#31,False,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#31\E-Design 314\E-Design 314\Core
21152713,#45,False,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#45\E-Design\Core
21154805,#8,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#8\Core
21160503,#21,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#21\Core
21162182,#29,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#29\Core
21162573,#46,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#46\Core
21172803,#42,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#42\Core
21229422,#60,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#60\MechBounce\Core
21271763,#19,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#19\Core
21554161,#5,True,Invalid Repository
21556415,#47,False,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#47\21556415_EDESIGN\Core
21556431,#56,False,Invalid Repository
21556733,#2,False,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#2\EDesign21556733\Core
21558388,#65,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#65\Demo2\Core
21561273,#54,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#54\Core
21564027,#62,False,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#62\V4 13 Mar\Core
21567042,#35,True,Invalid Repository
21568405,#17,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#17\Core
21570124,#16,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#16\Core
21574081,#27,False,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#27\edesign_2020_21574081\Core
21579725,#52,True,C:\Users\1995m\Desktop\skripsieCode\stdRepos\#52\Core
