,std,hsh,rightFormat
0,20416318,#46,False
1,20987056,#59,False
2,20994168,#3,True
3,21015279,#60,False
4,21018391,#51,False
5,21063990,#36,True
6,21093741,#4,False
7,21152713,#58,False
8,21154805,#40,True
9,21160503,#17,True
10,21162182,#2,True
11,21162573,#29,True
12,21172803,#50,True
13,21229422,#54,True
14,21271763,#31,True
15,21554161,#10,True
16,21556415,#30,False
17,21556431,#20,False
18,21556733,#43,False
19,21558388,#42,True
20,21561273,#38,True
21,21564027,#22,False
22,21567042,#61,True
23,21568405,#25,True
24,21570124,#47,True
25,21574081,#18,False
26,21579725,#5,True
27,21582815,#37,True
28,21584524,#14,False
29,21595240,#8,False
30,21599432,#45,False
31,21601593,#28,True
32,21601941,#63,False
33,21602204,#49,False
34,21606110,#6,True
35,21614172,#53,True
36,21625867,#15,True
37,21657025,#7,False
38,21695954,#48,True
39,21696489,#19,False
40,21699631,#21,True
41,21708886,#0,True
42,21726167,#33,True
43,21733902,#39,True
44,21738394,#11,True
45,21745102,#26,True
46,21750793,#57,True
47,21770050,#27,False
48,21772622,#52,True
49,21785155,#35,True
50,21785864,#13,True
51,21786275,#44,True
52,21792607,#64,True
53,21812683,#56,False
54,21852251,#23,True
55,21923329,#55,True
56,21948828,#32,True
57,21951705,#12,False
58,21954445,#65,True
59,21957029,#24,True
60,22046364,#9,True
61,22074376,#62,False
62,22127011,#41,False
63,22218521,#1,True
64,22252975,#16,True
65,22315063,#34,False
